Date,Time,Ons,Offs,Longitude,Latitude,Dwell Time
2024-04-01,20:13:53,0,14,-73.994219,40.706507,21.32
2024-04-01,20:21:53,5,8,-74.047321,40.772419,26.98
2024-04-01,20:25:53,1,5,-73.983024,40.735576,27.54
2024-04-01,20:28:53,11,2,-73.999357,40.667506,18.78
2024-04-01,20:33:53,10,6,-74.025778,40.742027,6.08
2024-04-01,20:47:53,0,12,-73.953402,40.70665,27.14
2024-04-01,21:02:53,0,8,-73.992888,40.708024,19.94
2024-04-01,21:08:53,6,14,-74.037686,40.75349,13.22
2024-04-01,21:20:53,9,13,-74.028616,40.725096,14.03
2024-04-01,21:28:53,0,15,-74.027197,40.798142,12.91
2024-04-01,21:34:53,3,1,-74.04443,40.682439,26.53
2024-04-01,21:42:53,9,7,-74.032512,40.753203,27.82
2024-04-01,21:46:53,8,8,-73.972788,40.679613,13.1
2024-04-01,21:56:53,11,5,-73.998163,40.753978,25.37
2024-04-01,22:01:53,4,1,-73.989696,40.601795,27.18
2024-04-01,22:09:53,7,8,-74.012272,40.7812,29.84
2024-04-01,22:11:53,2,6,-74.042905,40.637119,20.87
2024-04-01,22:21:53,2,4,-74.037949,40.742932,29.47
2024-04-01,22:26:53,7,5,-73.973294,40.730392,17.5
2024-04-01,22:29:53,13,0,-73.961243,40.729783,24.14
2024-04-01,22:42:53,12,3,-73.953433,40.660959,21.42
2024-04-01,22:54:53,3,6,-73.97416,40.6491,10.14
2024-04-01,23:00:53,12,8,-73.951614,40.758516,19.77
2024-04-01,23:07:53,4,6,-74.032209,40.604118,18.33
2024-04-01,23:11:53,14,11,-73.998798,40.64068,22.08
2024-04-01,23:19:53,1,4,-74.049966,40.658458,29.15
2024-04-01,23:30:53,14,12,-73.996334,40.783588,7.89
2024-04-01,23:37:53,12,7,-73.968207,40.627114,13.13
2024-04-01,23:40:53,10,12,-73.99964,40.622719,16.85
2024-04-01,23:47:53,3,8,-74.033355,40.715872,26.49
2024-04-01,23:54:53,4,2,-73.976561,40.719698,23.81
2024-04-01,23:56:53,12,12,-74.015814,40.685466,18.36
2024-04-01,23:57:53,8,14,-74.049425,40.786784,14.63
2024-04-02,00:03:53,0,1,-73.955354,40.765256,22.31
2024-04-02,00:06:53,4,5,-74.034479,40.628277,26.69
2024-04-02,00:10:53,6,7,-74.024538,40.758163,10.78
2024-04-02,00:13:53,2,6,-73.975874,40.677763,5.73
2024-04-02,00:22:53,9,7,-74.046985,40.710969,8.57
2024-04-02,00:32:53,0,7,-74.026598,40.645498,20.8
2024-04-02,00:41:53,13,8,-73.98233,40.663529,27.56
2024-04-02,00:45:53,9,11,-73.992166,40.607335,26.26
2024-04-02,00:48:53,4,11,-73.974965,40.695758,10.0
2024-04-02,00:53:53,2,13,-74.044883,40.663828,16.51
2024-04-02,00:58:53,15,13,-73.988809,40.610342,12.85
2024-04-02,01:04:53,6,2,-73.988365,40.670879,25.69
2024-04-02,01:08:53,10,3,-74.015512,40.720519,27.16
2024-04-02,01:18:53,4,4,-74.004077,40.769495,16.7
2024-04-02,01:29:53,9,2,-73.993982,40.750891,15.85
2024-04-02,01:31:53,8,3,-74.034645,40.68712,10.09
2024-04-02,01:32:53,6,4,-73.950743,40.631408,10.32
2024-04-02,01:33:53,2,1,-74.026234,40.760558,26.5
2024-04-02,01:38:53,5,10,-74.046908,40.648725,23.94
2024-04-02,01:52:53,10,13,-73.973779,40.699261,20.97
2024-04-02,02:03:53,12,0,-73.972013,40.712683,25.14
