Date,Time,Ons,Offs,Longitude,Latitude,Dwell Time
2024-04-02,05:32:03,5,3,-73.980511,40.704531,19.29
2024-04-02,05:37:03,10,1,-74.048001,40.615836,16.23
2024-04-02,05:41:03,15,5,-73.988718,40.775675,7.77
2024-04-02,05:50:03,3,0,-73.968721,40.763965,8.42
2024-04-02,06:01:03,7,11,-73.966275,40.676491,5.05
2024-04-02,06:04:03,13,2,-73.992525,40.653593,28.84
2024-04-02,06:18:03,3,0,-73.95912,40.730764,17.1
2024-04-02,06:24:03,11,9,-74.035548,40.613811,20.53
2024-04-02,06:30:03,5,12,-74.027985,40.764126,6.03
2024-04-02,06:32:03,9,11,-74.047725,40.721003,13.95
2024-04-02,06:35:03,8,7,-73.978786,40.727821,12.61
2024-04-02,06:38:03,9,14,-73.975745,40.62163,8.26
2024-04-02,06:43:03,3,6,-73.986727,40.633291,7.97
2024-04-02,06:49:03,12,15,-73.980588,40.748437,25.73
2024-04-02,06:52:03,12,8,-73.989645,40.600683,29.38
2024-04-02,07:02:03,4,5,-73.987158,40.712978,18.26
2024-04-02,07:16:03,4,10,-73.988111,40.755417,15.62
2024-04-02,07:24:03,0,10,-73.990496,40.707342,10.5
2024-04-02,07:25:03,5,0,-74.045354,40.602419,24.35
2024-04-02,07:27:03,2,9,-73.99979,40.602427,25.18
2024-04-02,07:29:03,5,8,-74.017613,40.711063,8.17
2024-04-02,07:31:03,1,4,-74.039837,40.735856,21.14
2024-04-02,07:36:03,9,8,-74.004814,40.786138,5.51
2024-04-02,07:39:03,4,7,-73.979163,40.687219,7.64
2024-04-02,07:42:03,3,6,-73.970351,40.708488,13.14
2024-04-02,07:51:03,5,3,-73.964096,40.639444,20.34
2024-04-02,07:52:03,0,14,-74.012789,40.730814,11.16
2024-04-02,07:53:03,2,8,-74.04547,40.794103,12.28
2024-04-02,08:03:03,15,10,-73.972489,40.632126,6.78
2024-04-02,08:17:03,4,5,-74.018064,40.721563,10.13
2024-04-02,08:31:03,13,14,-74.036036,40.786774,16.47
2024-04-02,08:34:03,6,11,-74.038417,40.661199,28.31
2024-04-02,08:37:03,12,15,-73.981016,40.620187,24.21
2024-04-02,08:38:03,11,10,-74.04717,40.683229,26.44
2024-04-02,08:41:03,8,14,-73.988717,40.781647,21.82
2024-04-02,08:50:03,12,11,-73.995145,40.662696,20.42
2024-04-02,09:05:03,6,6,-74.041349,40.636378,9.14
2024-04-02,09:15:03,8,2,-73.960027,40.706185,9.5
2024-04-02,09:21:03,7,3,-73.95132,40.724655,11.63
2024-04-02,09:31:03,11,4,-74.006087,40.678229,8.89
2024-04-02,09:44:03,7,6,-74.033801,40.658054,10.64
2024-04-02,09:55:03,15,13,-74.00435,40.690496,12.23
2024-04-02,10:05:03,13,10,-74.013573,40.662518,6.32
2024-04-02,10:20:03,3,10,-73.972767,40.740658,10.3
2024-04-02,10:25:03,0,0,-73.964208,40.77259,14.32
2024-04-02,10:29:03,5,15,-74.043721,40.606638,14.2
2024-04-02,10:30:03,2,8,-73.966049,40.742629,25.12
2024-04-02,10:40:03,11,5,-74.008433,40.680814,21.04
2024-04-02,10:52:03,4,8,-74.028736,40.750014,15.05
2024-04-02,11:06:03,4,1,-73.971806,40.677054,19.83
2024-04-02,11:14:03,5,4,-74.033755,40.779262,19.01
2024-04-02,11:20:03,7,9,-73.952339,40.602539,17.21
2024-04-02,11:25:03,10,8,-73.971037,40.672816,13.15
2024-04-02,11:39:03,4,8,-74.027264,40.651918,19.7
2024-04-02,11:42:03,7,2,-74.00098,40.773366,7.4
2024-04-02,11:47:03,13,7,-73.965275,40.641691,15.99
2024-04-02,11:57:03,0,14,-73.997659,40.602896,6.58
2024-04-02,12:06:03,7,8,-73.959252,40.610024,13.26
2024-04-02,12:19:03,6,15,-74.01249,40.650948,29.45
2024-04-02,12:21:03,15,0,-73.976564,40.647359,14.18
2024-04-02,12:26:03,10,10,-73.992991,40.793911,22.8
2024-04-02,12:34:03,5,3,-73.969225,40.655684,23.09
2024-04-02,12:46:03,13,12,-73.99998,40.660373,19.28
2024-04-02,12:59:03,13,6,-73.97988,40.669718,23.53
2024-04-02,13:02:03,8,15,-73.969355,40.785411,13.93
2024-04-02,13:09:03,8,3,-73.955636,40.641762,11.79
2024-04-02,13:23:03,15,11,-74.032311,40.605967,26.01
2024-04-02,13:29:03,11,1,-73.990202,40.782577,9.71
2024-04-02,13:35:03,11,8,-73.989571,40.741438,12.21
2024-04-02,13:47:03,7,6,-74.010386,40.688477,16.41
2024-04-02,13:59:03,10,10,-73.959341,40.758718,9.57
2024-04-02,14:11:03,0,8,-73.963673,40.757003,19.76
2024-04-02,14:25:03,8,1,-73.959399,40.742863,18.89
2024-04-02,14:33:03,13,14,-73.976997,40.666497,25.0
2024-04-02,14:41:03,3,8,-74.003422,40.728288,21.02
2024-04-02,14:49:03,12,1,-73.976237,40.762181,26.29
2024-04-02,15:02:03,9,9,-73.984141,40.73586,8.88
2024-04-02,15:08:03,1,12,-73.993139,40.613774,13.8
2024-04-02,15:21:03,3,11,-73.997597,40.75957,25.2
2024-04-02,15:33:03,0,4,-74.008363,40.673329,29.28
