Date,Time,Ons,Offs,Longitude,Latitude,Dwell Time
2024-04-03,04:26:45,5,9,-74.020751,40.705002,25.34
2024-04-03,04:31:45,1,1,-73.996114,40.616619,20.91
2024-04-03,04:38:45,6,15,-73.965172,40.78655,21.73
2024-04-03,04:49:45,3,5,-74.038445,40.753706,10.34
2024-04-03,04:51:45,6,8,-74.009167,40.759606,9.06
2024-04-03,04:56:45,10,10,-74.034541,40.614235,10.85
2024-04-03,05:11:45,5,2,-74.0399,40.626821,8.69
2024-04-03,05:21:45,2,2,-73.96839,40.759683,11.94
2024-04-03,05:30:45,8,2,-73.950627,40.660294,29.54
2024-04-03,05:31:45,4,13,-73.95413,40.711299,16.36
2024-04-03,05:43:45,13,0,-74.031849,40.68239,5.31
2024-04-03,05:56:45,6,8,-73.982507,40.762205,22.74
2024-04-03,06:04:45,2,4,-73.960945,40.616881,19.29
2024-04-03,06:14:45,15,4,-74.024014,40.656646,22.32
2024-04-03,06:20:45,15,8,-74.037485,40.716656,20.95
2024-04-03,06:27:45,11,12,-73.984551,40.601627,6.49
2024-04-03,06:37:45,1,12,-74.004504,40.605334,22.45
2024-04-03,06:49:45,15,12,-73.968034,40.771353,24.45
2024-04-03,06:50:45,0,11,-73.9816,40.768411,20.06
2024-04-03,07:01:45,1,14,-73.954351,40.716544,7.26
2024-04-03,07:13:45,2,6,-73.984145,40.731855,27.25
2024-04-03,07:22:45,9,10,-74.009968,40.633732,23.4
2024-04-03,07:27:45,8,1,-74.039982,40.729673,29.38
2024-04-03,07:39:45,5,15,-73.965616,40.797514,27.34
2024-04-03,07:40:45,0,1,-74.026295,40.645225,15.46
2024-04-03,07:54:45,15,9,-74.013184,40.769401,8.69
2024-04-03,08:05:45,1,14,-73.969126,40.637817,28.36
2024-04-03,08:10:45,6,13,-73.990709,40.608829,25.27
2024-04-03,08:24:45,1,3,-74.006656,40.623726,18.69
2024-04-03,08:29:45,5,8,-74.002442,40.637604,15.62
2024-04-03,08:41:45,9,6,-73.966265,40.698466,8.48
2024-04-03,08:48:45,6,1,-74.037608,40.61076,12.31
2024-04-03,09:03:45,15,9,-73.998372,40.659354,8.57
2024-04-03,09:16:45,15,0,-74.005066,40.730157,11.68
2024-04-03,09:19:45,3,9,-73.989578,40.731847,20.32
2024-04-03,09:34:45,10,13,-74.042282,40.743716,13.07
2024-04-03,09:37:45,6,7,-73.994512,40.72854,24.43
2024-04-03,09:38:45,7,8,-74.045998,40.757412,5.35
2024-04-03,09:39:45,5,2,-74.031594,40.657672,11.98
2024-04-03,09:46:45,12,5,-74.006681,40.659507,12.41
2024-04-03,09:57:45,15,5,-73.959866,40.637129,12.68
2024-04-03,10:05:45,7,6,-73.989982,40.701869,18.6
2024-04-03,10:08:45,13,4,-74.034292,40.779116,14.28
2024-04-03,10:16:45,4,2,-73.978449,40.62334,9.28
2024-04-03,10:31:45,3,5,-73.951203,40.698518,18.12
2024-04-03,10:34:45,4,6,-73.989313,40.796046,26.04
2024-04-03,10:44:45,5,1,-74.046937,40.666994,21.17
2024-04-03,10:56:45,2,1,-74.031172,40.725102,26.25
2024-04-03,10:57:45,6,14,-73.963399,40.691632,20.35
2024-04-03,11:11:45,3,13,-74.044643,40.693346,9.69
2024-04-03,11:13:45,10,14,-74.044105,40.657071,25.9
2024-04-03,11:26:45,4,5,-73.951664,40.689596,27.23
2024-04-03,11:39:45,5,13,-74.028488,40.653143,23.28
2024-04-03,11:52:45,15,13,-73.980189,40.745292,28.57
2024-04-03,12:02:45,2,15,-74.040049,40.735317,29.33
2024-04-03,12:10:45,13,11,-73.961891,40.777675,18.57
2024-04-03,12:25:45,3,4,-73.958262,40.692172,28.44
2024-04-03,12:33:45,14,10,-73.96523,40.662478,13.5
2024-04-03,12:48:45,3,14,-74.002267,40.611688,7.21
2024-04-03,12:54:45,2,9,-73.971099,40.764867,17.34
2024-04-03,13:00:45,14,0,-74.026151,40.616017,14.56
2024-04-03,13:11:45,14,5,-73.971773,40.754507,15.51
2024-04-03,13:20:45,14,6,-74.026047,40.618522,26.49
2024-04-03,13:25:45,7,8,-74.009453,40.65374,28.46
2024-04-03,13:35:45,13,6,-73.992344,40.648806,26.74
2024-04-03,13:50:45,8,4,-74.019436,40.74246,24.18
2024-04-03,13:51:45,13,9,-73.998328,40.62488,6.95
2024-04-03,14:01:45,2,8,-73.979196,40.618063,29.84
2024-04-03,14:10:45,8,5,-74.045704,40.62142,16.19
2024-04-03,14:18:45,3,5,-74.021588,40.695878,21.92
